,question,context,answer
,What is the average number of transactions per day?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT AVG(daily_transaction_count) FROM (SELECT date, COUNT(transaction_id) as daily_transaction_count FROM master_table GROUP BY date) as daily_counts;"
,Which ATM model has the highest number of transactions on a specific date?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT atm_model_name, COUNT(transaction_id) FROM master_table WHERE date = '2023-12-30' GROUP BY atm_model_name ORDER BY COUNT(transaction_id) DESC LIMIT 1;"
,What is the total count of transactions for each denomination type?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT denomination_type, COUNT(transaction_id) FROM master_table GROUP BY denomination_type;"
,List the transaction types with no denominations 10.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT DISTINCT transaction_type FROM master_table WHERE denomination_type != 10;
,Find the average number of transactions for each ATM model.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT atm_model_name, AVG(transaction_count) FROM (SELECT atm_model_name, COUNT(transaction_id) as transaction_count FROM master_table GROUP BY atm_model_name) as avg_transactions GROUP BY atm_model_name;"
,Which ATM model has the highest number of transactions of denomination 5?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT atm_model_name, COUNT(transaction_id) FROM master_table WHERE denomination_type=5 GROUP BY atm_model_name ORDER BY COUNT(transaction_id) DESC LIMIT 1;"
,List the dates with no transactions.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT date FROM master_table GROUP BY date HAVING COUNT(transaction_id) = 0;
,List the top 3 transaction types with the highest number of transactions.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT transaction_type, COUNT(transaction_id) FROM master_table GROUP BY transaction_type ORDER BY COUNT(transaction_id) DESC LIMIT 3;"
,List the transaction types with denominations 5 and 10.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT DISTINCT transaction_type FROM master_table WHERE denomination_type IN (5, 10);"
,What is the total count of transactions on a 2023-12-31 date?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT date, COUNT(transaction_id) FROM master_table WHERE date = '2023-12-31';"
,Find the total number of transactions for each denomination type on the highest transaction date.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT denomination_type, COUNT(transaction_id) FROM master_table WHERE date = (select date from master_table where transaction_amount = (select MAX(transaction_amount) from master_table)) GROUP BY denomination_type;"
,Which transaction type has the highest average number of denominations 5?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT transaction_type, AVG(denomination_type) FROM master_table WHERE denomination_type=5 GROUP BY transaction_type ORDER BY AVG(denomination_type) DESC LIMIT 1;"
,List the transaction types with denominations greater than 5.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT DISTINCT transaction_type FROM master_table WHERE denomination_type > 5;
,Which ATM model has the highest number of transactions of denomination 10?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT atm_model_name, COUNT(transaction_id) FROM master_table WHERE denomination_type=10 GROUP BY atm_model_name ORDER BY COUNT(transaction_id) DESC LIMIT 1;"
,List the dates with the highest number of transactions.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT date, COUNT(transaction_id) FROM master_table GROUP BY date ORDER BY COUNT(transaction_id) DESC;"
,Which transaction type has the lowest number of transactions?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT transaction_type,COUNT(transaction_id) as count_of_transactions FROM master_table group by transaction_type ORDER BY count_of_transactions ASC limit 1;"
,List all transactions on a 2024-01-10 date for a particular ATM model 'ATMITM45'?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT * FROM master_table WHERE date = '2024-01-10' AND atm_model_name = 'ATMITM45';
,List all transactions with a denomination type of 10 and 20,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT * FROM master_table WHERE denomination_type IN (10, 20);"
,List all transactions with a denomination type of 50 and 100,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT * FROM master_table WHERE denomination_type IN (50, 100);"
,List all transactions made on a specific date for a particular transaction type,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT * FROM master_table WHERE date = '2024-01-09' AND transaction_type = 'Withdrawal';
,Which date had the lowest number of transactions for a specific ATM model?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT date, count(transaction_id) FROM master_table WHERE atm_model_name = 'ATMITM45' GROUP BY date ORDER BY count(transaction_id) ASC LIMIT 1;"
,Which transaction type has more than 50 transactions?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT transaction_type, count(transaction_id) FROM master_table GROUP BY transaction_type HAVING count(transaction_id) > 50;"
,List all transactions made on a specific date for a 10 denomination type,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT * FROM master_table WHERE date = '2024-01-09' AND denomination_type = 10;
,What is the total number of transactions in the database?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT COUNT(*) As Total_Number_of_transactions FROM master_table;
,What is the average transaction amount for each denomination?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT denomination_type, AVG(transaction_amount) AS average_amount FROM master_table GROUP BY denomination_type;"
,Please identify the dates on which there were cash deposits or withdrawals made.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT date from master_table where transaction_type = 'deposits' or transaction_type='withdrawals';
,Analyze the relationship between denomination type and transaction amount.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT denomination_type, AVG(transaction_amount) AS average_amount FROM master_table GROUP BY denomination_type ORDER BY average_amount DESC;"
,Examine the relationship between denomination type and transaction amount to determine if higher denomination result in greater transaction amount.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT denomination_type, AVG(transaction_amount) AS average_amount FROM master_table GROUP BY denomination_type ORDER BY average_amount DESC;"
,Show me which transactions are having highest denominations.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT transaction_id, denomination_type from master_table where denomination_type in (SELECT denomination_type from master_table group by denomination_type order by denomination_type DESC) order by denomination_type DESC;"
,Which date has more number of transactions.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT Count(Date) as total_trans, Date from master_table group by Date ;"
,More number of Denomination 50 used in which transaction.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT * from master_table where denomination_type=50;
,Which transaction has a higher number of 10-denomination?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT * from master_table where denomination_type=10;
,Can you please display the transaction type that has more than $20 denominations?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT DISTINCT(transaction_type) from master_table where denomination_type>20;
,Can you please tell me the total number of transactions that have taken place with a 20 denomination?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT count(*) As Number_of_Transaction from master_table where denomination_type=20;
,Which ATM model has more number of transactions,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT count(atm_model_name) As Number_of_Transaction, atm_model_name from master_table group by atm_model_name;"
,Could you please let me know on which date there were more 20 denominations?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT count(date),date from master_table where denomination_type=20 group by date;"
,What is the highest withdrawal denomination available?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT count(denomination_type),denomination_type from master_table where transaction_type='withdrawals' group by denomination_type;"
,Could you please let me know the total number of distinct ATM models present in the system?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT COUNT(DISTINCT atm_model_name) FROM master_table;
,Could you please provide me with information regarding the total amount of withdrawals on 2023-12-01?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT SUM(total_amount) FROM master_table WHERE date = '2023-12-01' and transaction_type='withdrawals';
,List the top 5 ATMs with the highest transaction amounts.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT atm_model_name, total_amount FROM master_table ORDER BY total_amount DESC LIMIT 5;"
,Find the average transaction amount for a ATM model name ATMITM111.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT AVG(transaction_amount) FROM master_table WHERE atm_model_name = 'ATMITM111';
,How many transactions occurred in the last week?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","select count(*) As Number_of_transactions from master_table where Date >= date_sub(CURDATE(), INTERVAL 1 WEEK);"
,Identify the dates with more than 100 transactions.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT date, count(*) As Number_of_transactions FROM master_table GROUP BY date HAVING COUNT(*) > 100;"
,Find the total transaction amount of cash deposited on weekends.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT SUM(transaction_amount) FROM master_table WHERE DAYOFWEEK(date) IN (1, 7) AND transaction_type = 'deposits';"
,List the ATM models with no withdrawals transactions.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT atm_model_name FROM master_table WHERE atm_model_name NOT IN (SELECT DISTINCT atm_model_name FROM master_table WHERE transaction_type = 'withdrawals');
,Calculate the average transaction amount per day.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT AVG(transaction_amount) AS average_amount, date FROM master_table GROUP BY date;"
,What is the total number of unique users in the system?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT COUNT(DISTINCT account_number) As Unique_records FROM master_table;
,Find the total transaction amount of cash withdrawn by each user.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT transaction_id, SUM(transaction_amount) FROM master_table WHERE transaction_type = 'withdrawals' GROUP BY transaction_id;"
,List the top 3 users with the highest transaction amounts.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT * FROM master_table ORDER BY transaction_amount DESC LIMIT 3;
,Find the average transaction amount for a account number 123456.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT AVG(transaction_amount) As Avg_amount FROM master_table WHERE account_number = 123456;
,Identify the users with more than 50 transactions.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT user_id FROM transactions GROUP BY user_id HAVING COUNT(*) > 50;
,Find the total transaction amount of cash deposited on weekdays.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT SUM(transaction_amount) FROM master_table WHERE DAYOFWEEK(date) BETWEEN 2 AND 6 AND transaction_type = 'deposits';
,List the transaction with no withdrawal transactions.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT transaction_id FROM master_table WHERE transaction_type != 'withdrawals';
,Calculate the average transaction amount per account number.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT AVG(transaction_amount) AS average_amount, account_number FROM master_table GROUP BY account_number;"
,Find the total amount of withdrawals for each denomination.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT denomination_type, SUM(transaction_amount) FROM master_table WHERE transaction_type = 'withdrawals' GROUP BY denomination_type;"
,List the top 3 denominations with the highest transaction amount.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT denomination_type, transaction_amount FROM master_table ORDER BY transaction_amount DESC LIMIT 3;"
,How many transactions occurred in the last 48 hours?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT COUNT(*) FROM master_table WHERE date >= NOW() - INTERVAL 48 HOUR;
,Identify the denominations with more than 200 transactions.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT denomination_type FROM master_table GROUP BY denomination_type HAVING COUNT(*) > 200;
,Find the total amount of cash deposited on even-numbered dates.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT SUM(transaction_amount) FROM master_table WHERE DAY(date) % 2 = 0 AND transaction_type = 'deposits';
,List the denominations with no withdrawal transactions.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT denomination_type FROM master_table WHERE transaction_type != 'withdrawals';
,Calculate the average transaction amount per denomination.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT AVG(transaction_amount) AS average_amount, denomination_id FROM master_table GROUP BY denomination_id;"
,What are the unique transaction types in the system?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT DISTINCT transaction_type FROM master_table;
,Find the total amount of cash withdrawn for each transaction type.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT transaction_type, SUM(transaction_amount) FROM master_table GROUP BY transaction_type;"
,List the top 3 transaction types with the highest total transaction amounts.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT transaction_type, transaction_amount FROM master_table ORDER BY transaction_amount DESC LIMIT 3;"
,How many transactions occurred in the last 3 months?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT COUNT(*) FROM master_table WHERE date >= NOW() - INTERVAL 3 MONTH;
,Identify the transaction types with more than 50 transactions.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT transaction_type FROM master_table GROUP BY transaction_type HAVING COUNT(*) > 50;
,Find the total amount of cash deposited on odd-numbered dates.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT SUM(transaction_amount) FROM master_table WHERE DAY(date) % 2 = 1 AND transaction_type = 'deposits';
,Calculate the average transaction amount per transaction type.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT AVG(transaction_amount) AS average_amount, transaction_type FROM master_table GROUP BY transaction_type;"
,What is the average transaction amount for each transaction type?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT avg(transaction_amount), transaction_type from master_table group by transaction_type;"
,Find the ATM model with the highest total transaction amount.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT atm_model_name, SUM(transaction_amount) AS total_transactions_amount FROM master_table GROUP BY atm_model_name ORDER BY total_transactions_amount DESC LIMIT 1;"
,List the top 5 dates with the highest total transaction amounts.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT date, SUM(transaction_amount) AS total_transaction_amount FROM master_table GROUP BY date ORDER BY total_transaction_amount DESC LIMIT 5;"
,How many transactions were made on weekends?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT COUNT(*) FROM master_table WHERE DAYOFWEEK(date) IN (1, 7);"
,List the top 10 dates with the lowest total transaction amounts.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT date, SUM(transaction_amount) AS total_transaction_amount FROM master_table GROUP BY date ORDER BY total_transaction_amount ASC LIMIT 10;"
,How many transactions occurred in each month?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT MONTH(date) AS month, COUNT(*) AS total_transactions FROM master_table GROUP BY month;"
,Identify the dates with the highest number of cash withdrawals.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT date, COUNT(*) AS withdrawal_count FROM master_table WHERE transaction_type = 'withdrawals' GROUP BY date ORDER BY withdrawal_count DESC LIMIT 1;"
,"Calculate the total transactions per hour on a specific date and hour (e.g., 2023-12-30  at 12:00).","CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT COUNT(*) As Total_transaction FROM master_table WHERE date = '2023-12-30 12:00:00';
,How many unique denominations were used for transactions?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT COUNT(DISTINCT denomination_id) FROM master_table;
,Find the ATM model with the lowest total transactions.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT atm_model_name, SUM(transaction_amount) AS total_transactions_amount FROM master_table GROUP BY atm_model_name ORDER BY total_transactions_amount ASC LIMIT 1;"
,How many transactions occurred on weekdays?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT COUNT(*) FROM transactions WHERE DAYOFWEEK(date) BETWEEN 2 AND 6;
,"What is the total transaction amount on a specific date (e.g., 2023-12-30)?","CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT SUM(transaction_amount) AS total_amount FROM master_table WHERE date = '2023-12-30';
,List the top 5 dates with the highest number of cash withdrawals.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT date, COUNT(*) AS withdrawal_count FROM master_table WHERE transaction_type = 'withdrawals' GROUP BY date ORDER BY withdrawal_count DESC LIMIT 5;"
,List the dates with more than 500 transactions.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT date FROM master_table GROUP BY date HAVING COUNT(*) > 500;
,How many transactions occurred in each year?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT YEAR(date) AS year, COUNT(*) AS total_transactions FROM master_table GROUP BY year;"
,List the top 5 dates with the highest total cash deposits.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT date, SUM(transaction_amount) AS total_cash_deposits FROM master_table WHERE transaction_type = 'deposits' GROUP BY date ORDER BY total_cash_deposits DESC LIMIT 5;"
,How many transactions occurred in each quarter of the year?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT QUARTER(date) AS quarter, COUNT(*) AS total_transactions FROM master_table GROUP BY quarter;"
,Identify the ATM models with only cash withdrawals and no deposits.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT atm_model_name FROM master_table WHERE transaction_type = 'withdrawals' GROUP BY atm_model_name HAVING COUNT(*) > 0 AND COUNT(DISTINCT transaction_type) = 1;
,What is the average transaction amount for each year?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT YEAR(date) AS year, AVG(transaction_amount) AS average_amount FROM master_table GROUP BY year;"
,List the top 5 dates with the highest total ATM model counts.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT date, COUNT(DISTINCT atm_model_name) AS total_models FROM master_table GROUP BY date ORDER BY total_models DESC LIMIT 5;"
